"id","app","category","one_liner","auth","access","api_styles","api_breadth","mcp","verdict","blocker","confidence","evidence_urls"
"11","Zendesk","Support and Helpdesk","Zendesk is a customer service and helpdesk platform for managing tickets, help center content, messaging, voice, and related support workflows.","oauth2 | api_key","self_serve_trial","rest | sdk","broad","multiple","ready_now","none","0.95","https://support.zendesk.com/hc/en-us/articles/10622210192154-Announcement-Allowing-businesses-to-provide-customer-support-over-OpenAI-s-ChatGPT-EAP | https://support.zendesk.com/hc/en-us/articles/4408831452954-How-can-I-authenticate-API-requests | https://support.zendesk.com/hc/en-us/articles/8662004958746-Turning-on-and-off-API-access | https://support.zendesk.com/hc/en-us/articles/8843683464346-Important-update-Password-access-for-APIs-will-soon-be-removed | https://developer.zendesk.com/api-reference/introduction/security-and-auth/ | https://developer.zendesk.com/documentation/api-basics/ | https://developer.zendesk.com/api-reference/ | https://developer.zendesk.com/api-reference/ticketing/tickets/tickets/ | https://developer.zendesk.com/api-reference/help_center/help-center-api/articles/ | https://developer.zendesk.com/documentation/apps/getting-started/zendesk-app-quick-start/ | https://www.zendesk.com/pricing/ | https://support.zendesk.com/hc/en-us/articles/4408893293466-About-Zendesk-Support-plan-types | https://github.com/reminia/zendesk-mcp-server"
"12","Intercom","Support and Helpdesk","AI-first customer service platform for support/helpdesk workflows, with inbox, help center, automations, and developer APIs. ([developers.intercom.com](https://developers.intercom.com/docs?utm_source=openai))","oauth2 | bearer_token | api_key","self_serve_paid","rest | webhook | mcp","broad","official","conditional","paid_access","0.97","https://developers.intercom.com/docs/build-an-integration/learn-more/authentication | https://developers.intercom.com/docs/build-an-integration/learn-more/authentication/setting-up-oauth | https://www.intercom.com/help/en/articles/8344190-pricing-faqs | https://developers.intercom.com/docs/references/2.12/rest-api/api.intercom.io | https://developers.intercom.com/docs/references/rest-api/api.intercom.io/conversations/conversation | https://developers.intercom.com/docs/references/rest-api/api.intercom.io/tickets | https://developers.intercom.com/docs/references/rest-api/api.intercom.io/companies | https://developers.intercom.com/docs/references/2.14/rest-api/api.intercom.io/contacts | https://developers.intercom.com/docs/webhooks | https://developers.intercom.com/docs/guides/mcp | https://www.intercom.com/help/en/articles/15481203-fin-agent-api-mcp-server"
"13","Freshdesk","Support and Helpdesk","A customer support/helpdesk platform for managing tickets, support channels, self-service, automation, and reporting. ([support.freshdesk.com](https://support.freshdesk.com/support/solutions/articles/228050-what-is-freshdesk-?utm_source=openai))","basic | api_key","self_serve_paid","rest | sdk | webhook","broad","multiple","conditional","paid_access","0.97","https://support.freshdesk.com/support/solutions/articles/228050-what-is-freshdesk- | https://support.freshdesk.com/support/solutions/articles/50000011778-understanding-freshdesk-pricing-plans | https://developers.freshdesk.com/api/v1/ | https://developers.freshdesk.com/api/ | https://support.freshdesk.com/support/solutions/articles/215517-how-to-find-your-api-key- | https://support.freshdesk.com/support/solutions/articles/50000012670-model-context-protocol-mcp-integration-in-freshdesk-eap- | https://github.com/CDataSoftware/freshdesk-mcp-server-by-cdata | https://github.com/waanvar/awesome-mcp-servers"
"14","Front","Support and Helpdesk","Front is a shared inbox and customer operations platform for support teams, with APIs, webhooks, connectors, plugins, channels, and an MCP server for AI-assisted workflows.","oauth2 | api_key | bearer_token | basic | personal_token","self_serve_trial","rest | sdk | webhook | mcp | unknown","broad","multiple","blocked","no_public_api","0.97","https://help.front.com/en/articles/2168 | https://front.com/pricing | https://dev.frontapp.com/docs/authentication | https://dev.frontapp.com/reference/introduction | https://dev.frontapp.com/docs/core-api-getting-started | https://dev.frontapp.com/docs/create-and-manage-apps | https://help.front.com/en/articles/1237568 | https://dev.frontapp.com/docs/mcp-server | https://help.front.com/en/articles/4883136"
"15","Pylon","Support and Helpdesk","Pylon is a B2B support and helpdesk platform for managing customer issues across omnichannel support workflows, with AI agents, knowledge base, customer portal, and developer APIs.","bearer_token | oauth2","admin_approval","rest | sdk | mcp","broad","official","conditional","admin_approval","0.97","https://docs.usepylon.com/pylon-docs | https://docs.usepylon.com/pylon-docs/developer/api | https://docs.usepylon.com/pylon-docs/developer/api/authentication | https://docs.usepylon.com/pylon-docs/developer/api/api-reference | https://docs.usepylon.com/pylon-docs/developer/api/api-reference/issues | https://www.usepylon.com/integrations/mcp | https://support.usepylon.com/articles/2407390554-connecting-to-the-pylon-mcp-server | https://support.usepylon.com/articles/7347376019-what-permissions-do-the-member-and-admin-roles-have | https://support.usepylon.com/articles/8681339813-what-is-included-in-the-enterprise-plan"
"16","LiveAgent","Support and Helpdesk","An all-in-one customer support and helpdesk platform with ticketing, live chat, call center, knowledge base, and AI features.","api_key | bearer_token | oauth2","self_serve_trial","rest | mcp","broad","official","ready_now","none","0.97","https://www.liveagent.com/ | https://www.liveagent.com/pricing/ | https://www.liveagent.com/trial/ | https://support.liveagent.com/docs/api/v3/ | https://support.liveagent.com/567924-Documentation?r=1 | https://support.liveagent.com/802463-REST-API | https://support.liveagent.com/647358-MCP-Integration-for-Agents | https://support.liveagent.com/578762-MCP-Tools-Reference"
"17","Plain","Support and Helpdesk","AI support infrastructure / helpdesk platform for B2B teams.","api_key | oauth2","self_serve_trial","graphql | sdk | mcp | webhook","broad","official","ready_now","none","0.97","https://www.plain.com/help-center/what-is-plain | https://www.plain.com/pricing | https://help.plain.com/article/creating-api-keys | https://help.plain.com/article/api-quickstart | https://www.plain.com/docs/graphql/introduction | https://www.plain.com/docs/graphql/sdk | https://help.plain.com/article/mcp-server | https://help.plain.com/article/help-center-authentication | https://www.plain.com/docs/request-signing"
"18","Help Scout","Support and Helpdesk","Help Scout is a customer support and helpdesk platform with shared inboxes, docs/knowledge base, Beacon customer messaging, APIs, webhooks, and an official MCP connector.","oauth2 | api_key | basic | bearer_token","self_serve_paid","rest | sdk | webhook | mcp","broad","official","conditional","paid_access","0.96","https://developer.helpscout.com/ | https://developer.helpscout.com/mailbox-api/overview/authentication/ | https://developer.helpscout.com/mailbox-api/ | https://developer.helpscout.com/mailbox-api/overview/http-methods/ | https://developer.helpscout.com/docs-api/ | https://developer.helpscout.com/docs-api/articles/create/ | https://docs.helpscout.com/article/1140-mailbox-api | https://docs.helpscout.com/article/1779-connect-your-ai-agent-with-help-scout-to-search-conversations-and-pull-reports | https://docs.helpscout.com/article/596-billing-and-plans-guide"
"19","Gorgias","Support and Helpdesk","A Shopify-focused customer support/helpdesk platform with a REST API, OAuth2/public-app support, and an MCP connector for AI assistants.","api_key | basic | bearer_token","self_serve_paid","rest | mcp","broad","official","conditional","paid_access","0.98","https://developers.gorgias.com/reference/authentication | https://developers.gorgias.com/docs/access-tokens-api-keys | https://docs.gorgias.com/en-US/rest-api-208286 | https://developers.gorgias.com/docs/private-vs-public-app | https://developers.gorgias.com/docs/oauth2-bearer-token | https://developers.gorgias.com/ | https://docs.gorgias.com/en-US/connect-your-ai-assistant-to-the-gorgias-mcp-6310546 | https://docs.gorgias.com/en-US/gaia-explained-6646561 | https://developers.gorgias.com/reference/introduction | https://developers.gorgias.com/reference/list-tickets | https://developers.gorgias.com/reference/create-ticket | https://developers.gorgias.com/reference/list-macros | https://developers.gorgias.com/reference/create-macro | https://www.gorgias.com/pricing"
"20","Gladly","Support and Helpdesk","AI-driven customer service and helpdesk platform for managing conversations across channels, with REST APIs, webhooks, app integrations, chat SDK, and help-center/public-answer tooling. ([help.gladly.com](https://help.gladly.com/product-docs/docs/what-is-gladly-ai?utm_source=openai))","basic | bearer_token | oauth2 | unknown","contact_sales","rest | graphql | sdk | webhook | cli | unknown","broad","none_found","blocked","no_public_api","0.91","https://developer.gladly.com/rest/index.html | https://developer.gladly.com/rest/ | https://developer.gladly.com/ | https://help.gladly.com/generate-api-tokens-and-create-webhooks | https://help.gladly.com/docs/gladly-expansion-basics | https://help.gladly.com/developer-tutorials/docs/app-building-how-to | https://help.gladly.com/developer-tutorials/docs/getting-started-with-gladly-app-platform"
"21","Slack","Communications and Messaging","Slack is a workplace communications platform, and its developer platform lets apps and agents read, write, and react inside Slack workspaces.","oauth2 | bearer_token","self_serve_free","rest | webhook | sdk | mcp","broad","official","ready_now","none","0.97","https://docs.slack.dev/authentication/ | https://docs.slack.dev/authentication/installing-with-oauth/ | https://docs.slack.dev/authentication/tokens/ | https://slack.com/pricing | https://docs.slack.dev/apis/ | https://docs.slack.dev/apis/web-api/ | https://docs.slack.dev/apis/events-api/ | https://docs.slack.dev/apis/events-api/using-socket-mode/ | https://docs.slack.dev/messaging/sending-messages-using-incoming-webhooks/ | https://docs.slack.dev/interactivity/ | https://slack.com/help/articles/48855576908307-Guide-to-Model-Context-Protocol-in-Slack | https://docs.slack.dev/ai/slack-mcp-server/"
"22","Twilio","Communications and Messaging","Cloud communications platform that provides APIs for messaging, voice, video, email, verification, and related customer engagement workflows.","oauth2 | api_key | basic | bearer_token","self_serve_trial","rest | sdk | cli | webhook","broad","official","ready_now","none","0.98","https://www.twilio.com/docs/usage/api?save_locale=en | https://www.twilio.com/docs/usage/requests-to-twilio | https://www.twilio.com/docs/iam/oauth-apps/overview | https://www.twilio.com/docs/iam/oauth-apps/oauth-access-token | https://www.twilio.com/docs/iam/api-keys | https://www.twilio.com/docs/usage/trials | https://www.twilio.com/en-us/pricing/current-rates | https://www.twilio.com/docs/ai/mcp"
"23","Zoho Cliq","Communications and Messaging","Team chat and collaboration app with channels, messaging, calls/meetings, bots, automations, and extensibility for internal tools and integrations.","oauth2 | api_key","self_serve_free","rest | mcp","broad","official","ready_now","none","0.95","https://www.zoho.com/cliq/help/restapi/v3/introduction/ | https://www.zoho.com/cliq/help/restapi/v3/registerclient/ | https://www.zoho.com/cliq/help/restapi/v2/oauth/ | https://www.zoho.com/cliq/help/platform/connections.html | https://www.zoho.com/cliq/pricing.html | https://www.zoho.com/cliq/pricing/support-plans.html | https://www.zoho.com/cliq/mcp-server.html | https://www.zoho.com/cliq/help/platform/zoho-cliq-mcp.html | https://www.zoho.com/cliq/help/platform/configure-zoho-cliq-mcp.html | https://www.zoho.com/cliq/help/restapi/v3/bots/ | https://www.zoho.com/cliq/help/restapi/v2/messages/"
"24","Lark (Larksuite)","Communications and Messaging","Lark’s developer/open platform for building bots, web apps, blocks, and integrations on top of its communications, messaging, and broader workplace APIs.","oauth2 | bearer_token","self_serve_free","rest | sdk | webhook | mcp","broad","official","ready_now","none","0.96","https://open.larksuite.com/ | https://open.larksuite.com/document/ukTMukTMukTM/uYTM5UjL2ETO14iNxkTN/server-api-list | https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/file/get | https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/reference/bitable-v1/app/get | https://github.com/larksuite/lark-openapi-mcp/blob/main/README.md | https://github.com/larksuite/lark-openapi-mcp/blob/main/docs/usage/configuration/configuration.md"
"25","Pumble","Communications and Messaging","A team chat and collaboration app for channels, direct messages, file sharing, calls, and workspace messaging.","api_key | custom","self_serve_free","rest | webhook | mcp","moderate","official","ready_now","none","0.95","https://pumble.com/help/getting-started/introduction-to-pumble/what-is-pumble/ | https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/ | https://pumble.com/help/integrations/automation-workflow-integrations/how-to-use-the-pumble-mcp-server/ | https://pumble.com/help/integrations/add-pumble-apps/guide-to-pumble-integrations/ | https://pumble.com/help/integrations/add-pumble-apps/incoming-webhooks-for-pumble/ | https://pumble.com/pricing"
"26","Discord","Communications and Messaging","A communications and messaging platform whose developer platform lets apps, bots, and integrations interact with servers, channels, messages, and users.","oauth2 | bearer_token | basic","self_serve_free","rest | graphql | soap | sdk | cli | webhook | mcp","broad","multiple","ready_now","none","0.97","https://docs.discord.com/developers/platform/oauth2-and-permissions | https://docs.discord.com/developers/reference | https://docs.discord.com/developers/quick-start/getting-started | https://docs.discord.com/developers/discovery/enabling-discovery | https://docs.discord.com/developers/events/gateway | https://docs.discord.com/developers/platform/interactions | https://docs.discord.com/developers/platform/bots | https://docs.discord.com/developers/change-log | https://github.com/ExilProductions/discord-mcp"
"27","Telegram","Communications and Messaging","A cloud-based messaging platform with client APIs for building Telegram-compatible apps, bots, widgets, and login flows.","custom | api_key | oauth2","self_serve_free","rest | sdk | webhook | unknown","broad","none_found","blocked","no_public_api","0.96","https://core.telegram.org/ | https://core.telegram.org/api/obtaining_api_id | https://core.telegram.org/bots/api | https://core.telegram.org/api/auth | https://core.telegram.org/api/bots | https://core.telegram.org/bots/telegram-login | https://core.telegram.org/api/terms | https://core.telegram.org/bots | https://core.telegram.org/bots/features | https://core.telegram.org/bots/webapps"
"28","WhatsApp Business","Communications and Messaging","Meta’s business messaging platform for sending and receiving WhatsApp messages, managing WhatsApp Business Accounts/phone numbers, handling webhooks, and supporting template-based and interactive customer conversations.","bearer_token | oauth2","self_serve_trial","rest | webhook | sdk","broad","community","ready_now","none","0.9","https://github.com/fbsamples/whatsapp-api-examples | https://whatsapp.github.io/WhatsApp-Nodejs-SDK/ | https://github.com/fbsamples/business-messaging-sample-tech-provider-app/blob/main/README.md | https://github.com/verygoodplugins/whatsapp-mcp | https://github.com/lharries/whatsapp-mcp | https://github.com/nakulben/whatsapp-mcp"
"29","Aircall","Communications and Messaging","Aircall is an AI-powered customer communications platform for business phone, voice, SMS/MMS, and related integrations.","oauth2 | api_key | basic | bearer_token","self_serve_paid","rest | webhook | sdk | mcp","broad","multiple","conditional","paid_access","0.95","https://aircall.io/what-is-aircall/ | https://developer.aircall.io/ | https://developer.aircall.io/docs/introduction | https://developers.aircall.io/api-references | https://developer.aircall.io/tutorials/basic-authentication/ | https://developer.aircall.io/docs/oauth | https://developer.aircall.io/docs/public-vs-private-app | https://aircall.io/pricing/ | https://developer.aircall.io/docs/calls | https://vinkius.com/mcp/aircall | https://agenthotspot.com/connectors/oss/aircall"
"30","Vonage","Communications and Messaging","A communications platform for programmable messaging, voice, video, verification, numbers, and related account/reporting APIs. ([developer.vonage.com](https://developer.vonage.com/en/documentation?utm_source=openai))","api_key | basic | bearer_token | oauth2 | custom","self_serve_free","rest | sdk | cli | webhook | mcp","broad","official","ready_now","none","0.96","https://developer.vonage.com/en/documentation | https://developer.vonage.com/en/getting-started/concepts/authentication | https://developer.vonage.com/en/sign-up | https://developer.vonage.com/en/dashboard/getting-started | https://developer.vonage.com/en/account/guides/dashboard-management | https://developer.vonage.com/en/api | https://developer.vonage.com/en/getting-started/overview | https://developer.vonage.com/en/mcp-server/overview | https://developer.vonage.com/en/mcp-server/technical-details | https://developer.vonage.com/en/mcp-server/how-to-guides/install-tooling-mcp-server"
"31","Google Ads","Marketing, Ads, Email and Social","An API for programmatically managing and reporting on Google Ads accounts, campaigns, assets, conversions, audiences, and related advertising data.","oauth2 | service_account","self_serve_paid","rest | graphql | sdk","broad","community","conditional","paid_access","0.96","https://developers.google.com/google-ads/api/rest/auth?hl=en | https://developers.google.com/google-ads/api/docs/productionize/access-levels | https://developers.google.com/google-ads/api/docs/api-policy/access-levels | https://developers.google.com/google-ads/api/docs/concepts/api-structure | https://developers.google.com/google-ads/api/docs/developer-toolkit/mcp-server | https://github.com/googleads/google-ads-mcp"
"32","Meta Ads","Marketing, Ads, Email and Social","Meta’s API for programmatic advertising on Facebook and Instagram, used to manage ad accounts, campaigns, ad sets, ads, creatives, audiences, and insights.","oauth2 | bearer_token","self_serve_paid","rest | sdk | webhook","broad","community","conditional","paid_access","0.93","https://github.com/facebook/facebook-python-business-sdk | https://www.postman.com/meta/facebook-marketing-api/overview | https://www.postman.com/meta/facebook-marketing-api/collection/0zr4mes/facebook-marketing-api-mapi | https://www.postman.com/meta/facebook-marketing-api/folder/uw5dv48/adaccount | https://www.postman.com/meta/facebook-marketing-api/folder/zzd6d5p/insights-api | https://github.com/brijr/meta-mcp"
"33","LinkedIn Ads","Marketing, Ads, Email and Social","A LinkedIn marketing platform for creating, managing, and measuring ads and related marketing assets such as ad accounts, campaigns, creatives, reporting, audiences, conversions, events, leads, and company-page/social operations.","oauth2","self_serve_free","rest","broad","none_found","ready_now","none","0.96","https://learn.microsoft.com/en-us/linkedin/marketing/?view=li-lms-2026-02 | https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access?view=li-lms-2026-06 | https://learn.microsoft.com/en-us/linkedin/marketing/integrations/marketing-tiers?view=li-lms-2026-01 | https://learn.microsoft.com/en-us/linkedin/shared/authentication/authorization-code-flow | https://learn.microsoft.com/en-us/linkedin/marketing/getting-started?view=li-lms-2026-04 | https://learn.microsoft.com/en-us/linkedin/marketing/integrations/ads/getting-started?view=li-lms-2026-01 | https://learn.microsoft.com/en-us/linkedin/marketing/integrations/ads/account-structure/create-and-manage-accounts?view=li-lms-2026-02 | https://learn.microsoft.com/en-us/linkedin/marketing/integrations/ads/account-structure/create-and-manage-account-users?view=li-lms-2026-02 | https://learn.microsoft.com/en-us/linkedin/marketing/integrations/ads/account-structure/create-and-manage-campaign-groups?view=li-lms-2026-06 | https://learn.microsoft.com/en-us/linkedin/marketing/integrations/marketing-integrations-overview?view=li-lms-2026-07"
"34","GoHighLevel","Marketing, Ads, Email and Social","A CRM and marketing-automation platform for agencies, with APIs and MCP tooling for contacts, messaging, calendars, workflows, payments, and related operations.","oauth2 | api_key | bearer_token","self_serve_paid","rest | sdk","broad","multiple","conditional","paid_access","0.95","https://help.gohighlevel.com/support/solutions/articles/48001060529 | https://help.gohighlevel.com/support/solutions/articles/155000003054-private-integrations-everything-you-need-to-know | https://help.gohighlevel.com/support/solutions/articles/155000007515-how-to-use-public-apis-in-agent-studio | https://help.gohighlevel.com/support/solutions/articles/155000005741-how-to-use-the-highlevel-mcp-server | https://help.gohighlevel.com/support/solutions/articles/155000003697-api-security-initiatives | https://highlevel.stoplight.io/docs/integrations/00d0c0ecaa369-get-access-token | https://highlevel.stoplight.io/docs/integrations/a04191c0fabf9-authorization | https://highlevel.stoplight.io/docs/integrations/234fdda137d1e-contact | https://highlevel.stoplight.io/docs/integrations/ad461c1eb08ab-payments-api | https://github.com/drausal/gohighlevel-mcp | https://github.com/mastanley13/GoHighLevel-MCP"
"35","Mailchimp","Marketing, Ads, Email and Social","Email marketing and audience-management platform with a public Marketing API for managing audiences, contacts, campaigns, reporting, and related account data.","api_key | oauth2","self_serve_free","rest | sdk | webhook","broad","none_found","ready_now","none","0.97","https://mailchimp.com/developer/marketing/docs/fundamentals/ | https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/ | https://mailchimp.com/help/about-api-keys/ | https://mailchimp.com/pricing/marketing/ | https://mailchimp.com/developer/marketing/docs/methods-parameters/ | https://mailchimp.com/developer/marketing/api/root/list-api-root-resources/ | https://mailchimp.com/developer/marketing/docs/integrations/ | https://mailchimp.com/developer/marketing/guides/quick-start/"
"36","Klaviyo","Marketing, Ads, Email and Social","Klaviyo is a marketing automation platform whose developer surface exposes APIs for profiles, events, lists, campaigns, flows, reporting, and client-side event/subscription tracking, plus an official MCP server for AI clients. ([developers.klaviyo.com](https://developers.klaviyo.com/en/v2026-01-15/reference/api_overview?utm_source=openai))","oauth2 | api_key","self_serve_free","rest | sdk | cli | webhook | mcp","broad","official","ready_now","none","0.97","https://developers.klaviyo.com/en/v2026-01-15/reference/api_overview | https://developers.klaviyo.com/en/v2026-01-15/reference/reporting_api_overview | https://developers.klaviyo.com/en/v2026-01-15/reference/profiles_api_overview | https://developers.klaviyo.com/en/v2026-01-15/reference/events_api_overview | https://developers.klaviyo.com/en/v2026-01-15/reference/campaigns_api_overview | https://developers.klaviyo.com/en/docs/set_up_oauth | https://developers.klaviyo.com/en/docs/create_a_public_oauth_app | https://developers.klaviyo.com/en/v2024-05-15/docs/retrieve_api_credentials | https://developers.klaviyo.com/en/docs/klaviyo_mcp_server | https://developers.klaviyo.com/en/docs/klaviyo_app_listing_requirements | https://developers.klaviyo.com/en/docs/manage_your_app"
